decision_id,path,kind,reuse_reason,reuse_priority,source_archive_ref,recovery_command,owner,batch_id,notes
,model/noc.py,python,hardware/interconnect model prototype; not reachable from current entrypoints but semantically relevant,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:model/noc.py,worker-model,B10-MODEL,current Phase 1 classification is REUSE_CANDIDATE
,optimizer/delta_ver.py,python,optimizer research prototype with torch/pyro deps; keep as optional reuse candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:optimizer/delta_ver.py,worker-optimizer,B11-OPTIMIZER,current Phase 1 classification is REUSE_CANDIDATE
,optimizer/dist_custom.py,python,optimizer research prototype with torch deps; keep as optional reuse candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:optimizer/dist_custom.py,worker-optimizer,B11-OPTIMIZER,current Phase 1 classification is REUSE_CANDIDATE
,optimizer/ops.py,python,optimizer research prototype with torch/seaborn deps; keep as optional reuse candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:optimizer/ops.py,worker-optimizer,B11-OPTIMIZER,current Phase 1 classification is REUSE_CANDIDATE
,optimizer/scheduler_base.py,python,optimizer prototype with Gurobi/networkx signals; not current runtime but reusable,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:optimizer/scheduler_base.py,worker-optimizer,B11-OPTIMIZER,current Phase 1 classification is REUSE_CANDIDATE
,sched/packing_solver/gurobi_semi2Dclst_mapping.py,python,alternate Gurobi mapping solver; not imported by current runtime but solver reuse candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:sched/packing_solver/gurobi_semi2Dclst_mapping.py,worker-sched,B15-SCHED,current Phase 1 classification is REUSE_CANDIDATE
,sched/packing_solver/gurobi_semi2Dclst_mapping2.py,python,alternate Gurobi mapping solver variant; not imported by current runtime but solver reuse candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:sched/packing_solver/gurobi_semi2Dclst_mapping2.py,worker-sched,B15-SCHED,current Phase 1 classification is REUSE_CANDIDATE
,scripts/e2e_exp_runner.py,python,not in declared Phase 1 entrypoints but same experiment-runner family; preserve as future port candidate,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:scripts/e2e_exp_runner.py,worker-scripts,B16-SCRIPTS,current Phase 1 classification is REUSE_CANDIDATE
,scripts/e2e_hyperparam.py,python,not in declared Phase 1 entrypoints but likely useful for future hyperparameter sweeps,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:scripts/e2e_hyperparam.py,worker-scripts,B16-SCRIPTS,current Phase 1 classification is REUSE_CANDIDATE
,scripts/repack_sweep.py,python,reflection/dynamic runner; not safe to remove without owner review,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:scripts/repack_sweep.py,worker-scripts,B16-SCRIPTS,current Phase 1 classification is REUSE_CANDIDATE
,tile_2d_mesh_mapper_fixed.py,python,standalone mapper prototype with shell-call risk; preserve for review/reuse rather than low-risk deletion,review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:tile_2d_mesh_mapper_fixed.py,worker-root,B13-ROOT,current Phase 1 classification is REUSE_CANDIDATE
,unused_fun.py,python,"explicitly named unused, but referenced by docs; record symbol/file review before deletion",review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:unused_fun.py,worker-root,B13-ROOT,current Phase 1 classification is REUSE_CANDIDATE
