path,status,kind,owner,reachable_from,evidence,risk_level,archive_ref,recovery_command,notes
.claude/agents/conda-debug-runner.md,KEEP,docs,worker-docs,,user marked .claude skills/config necessary; do not delete,user-protected-agent-config,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/agents/conda-debug-runner.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
.claude/agents/doc-writer.md,KEEP,docs,worker-docs,,user marked .claude skills/config necessary; do not delete,user-protected-agent-config,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/agents/doc-writer.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
.claude/settings.json,KEEP,config,worker-claude,,user marked .claude skills/config necessary; do not delete,user-protected-agent-config,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/settings.json,batch=B1-CLAUDE
.claude/skills/spec-writer/SKILL.md,KEEP,docs,worker-docs,,user marked .claude skills/config necessary; do not delete,user-protected-agent-config,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/skills/spec-writer/SKILL.md,batch=B7-DOCS
.cursor/rules/coderun.mdc,REVIEW,other,worker-cursor,,non-code/other file; requires human classification,unknown,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.cursor/rules/coderun.mdc,batch=B2-CURSOR
.cursor/rules/git.mdc,REVIEW,other,worker-cursor,,non-code/other file; requires human classification,unknown,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.cursor/rules/git.mdc,batch=B2-CURSOR
.cursor/rules/reference.mdc,REVIEW,other,worker-cursor,,unreachable by AST graph but has risk/ref signals: risks=none refs=17,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.cursor/rules/reference.mdc,batch=B2-CURSOR
.github/chatmodes/vscode_copilot_cfg.chatmode.md,REVIEW,shared-config,team-leader,,shared/protected config; leader-owned,protected-shared-file,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.github/chatmodes/vscode_copilot_cfg.chatmode.md,batch=B0-SHARED
.gitignore,REVIEW,other,worker-root,,non-code/other file; requires human classification,unknown,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.gitignore,batch=B13-ROOT
.trae/documents/plan_20260212_195149.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.trae/documents/plan_20260212_195149.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
CLAUDE.md,REVIEW,shared-config,team-leader,,shared/protected config; leader-owned,protected-shared-file,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:CLAUDE.md,batch=B0-SHARED
GUROBI_ENV_TESTING_SUMMARY.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:GUROBI_ENV_TESTING_SUMMARY.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
README.md,REVIEW,shared-config,team-leader,,shared/protected config; leader-owned,protected-shared-file,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:README.md,batch=B0-SHARED
TEST_SCRIPT_UPDATE_SUMMARY.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:TEST_SCRIPT_UPDATE_SUMMARY.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
TODO.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:TODO.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
__init__.py,REVIEW,python,worker-root,,unreachable by AST graph but has risk/ref signals: risks=none refs=50,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:__init__.py,batch=B13-ROOT
allocator_agent.py,KEEP,python,worker-root,,reachable from declared entrypoints,shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:allocator_agent.py,batch=B13-ROOT
analyze/UE_extract.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=generated-code refs=1,generated-code,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/UE_extract.py,batch=B3-ANALYZE
analyze/__init__.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=69,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/__init__.py,batch=B3-ANALYZE
analyze/analyze_ctx_switch.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/analyze_ctx_switch.py,batch=B3-ANALYZE
analyze/analyze_timing.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/analyze_timing.py,batch=B3-ANALYZE
