decision_id,category,recommended_action,path_count,paths,risk,evidence_file,default_if_approved,user_decision,decision_status,user_note
P1-GIT-001,git-safety,confirm master as integration base or provide the real main ref,0,n/a,medium,cleanup/reports/mainline-diff-summary.md,continue Phase 2/3 planning against master-as-mainline,approve,APPROVED,Approved by user on 2026-06-12.
P1-GIT-002,git-safety,acknowledge original untracked files are outside archive refs and cleanup scope unless separately approved,0,n/a,low,cleanup/reports/original-worktree-status.txt,do not import untracked original worktree files into audit,approve,APPROVED,Approved by user on 2026-06-12.
P1-KEEP-001,keep-seed,accept KEEP seed for current clean main runtime surface,67,"allocator_agent.py, approach_Eq.py, approach_collector.py, approach_def.py, approach_initiator.py, approach_sched.py, approach_setup.py, approach_sim.py, cfgs/Bp_guided.json, cfgs/Bp_scratch.json, cfgs/var_sim_cfg.json, example/bm4.py, ... (+55)",medium,"cleanup/reachable-files.csv, cleanup/reachability-graph.md",Phase 2 does not remove these paths,approve,APPROVED,Approved by user on 2026-06-12.
P1-REUSE-001,reuse-candidates,"classify non-entrypoint but useful experiment/optimizer/mapper files as REUSE_CANDIDATE, not immediate removal",12,"model/noc.py, optimizer/delta_ver.py, optimizer/dist_custom.py, optimizer/ops.py, optimizer/scheduler_base.py, sched/packing_solver/gurobi_semi2Dclst_mapping.py, sched/packing_solver/gurobi_semi2Dclst_mapping2.py, scripts/e2e_exp_runner.py, scripts/e2e_hyperparam.py, scripts/repack_sweep.py, tile_2d_mesh_mapper_fixed.py, unused_fun.py",medium,cleanup/reuse-candidates.csv,exclude from clean runtime unless explicitly ported later; preserve via archive refs,approve,APPROVED,Approved by user on 2026-06-12.
P1-DEP-001,dependencies,approve dependency manifest/environment reconciliation for reachable third-party deps,8,"gurobipy, h5py, networkx, psutil, pyinstrument, pytest, tdigest, tqdm",manifest/env mismatch,"cleanup/dependency-ledger.csv, cleanup/reports/dependency-audit.csv, cleanup/reports/entrypoint-smoke.md",Phase 2 may align requirement.txt or document that conda activate gurobi is the supported environment,approve,APPROVED,Approved by user on 2026-06-12.
P1-DEP-002,dependencies,review listed-but-not-statically-imported dependencies before removing,3,"bokeh, plotly, pyyaml",unknown,cleanup/dependency-ledger.csv,keep as REVIEW until runtime/plot tests prove stale,keep-review,KEEP_REVIEW,Keep under review; no cleanup execution.
P1-NODE-001,dependencies,approve removal/ignore plan for empty Node manifests and local node_modules if no Node tooling is needed,3,"package.json, package-lock.json (tracked only); node_modules/ is untracked and out of scope",low,"cleanup/dependency-ledger.csv, cleanup/gitignore-cache-ledger.csv",Phase 2 may handle tracked empty Node manifests only; do not touch untracked node_modules/.,approve,APPROVED,Approved only for tracked git-cache files; untracked node_modules/ is out of scope.
P1-CACHE-001,cache-generated,approve git rm --cached plus ignore for root generated artifacts,4,"output.pdf, output.txt, stats_collector.json, error_log.txt",low,cleanup/gitignore-cache-ledger.csv,Phase 2 untracks artifacts and updates ignore rules,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-CACHE-002,cache-generated,approve archive-only/untrack plan for debug_case1 generated artifacts,3,"debug_case1/case1/case1_motiv1_style.pdf, debug_case1/case1/case1_satisfy_projection.pdf, debug_case1/case1/case1_summary.json",medium,cleanup/gitignore-cache-ledger.csv,Phase 2 removes/untracks debug_case1 from clean main,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B7-DOCS,remove-from-clean,approve archive-only exclusion for low-risk docs/agent/chat/history documents,27,".claude/agents/conda-debug-runner.md, .claude/agents/doc-writer.md, .trae/documents/plan_20260212_195149.md, GUROBI_ENV_TESTING_SUMMARY.md, TEST_SCRIPT_UPDATE_SUMMARY.md, TODO.md, claude_talk/ala_coding.md, claude_talk/auto-repack.md, claude_talk/baseline_allocator.md, claude_talk/compared_allocator.md, doc/analytical_report/MOTIV_EXP_SUMMARY.md, doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md, doc/dev/change_log_2023.md, doc/dev/change_log_2024.md, doc/dev/change_log_2026.md, doc/dev/fig_plotting_context.md, doc/dev/plans/2026-03-20-repack-fix-core.md, doc/dev/repack_debug_instrumentation.md, doc/spec/algorithm/paper/cursor_algo_paper.md, doc/temp/data_structure.md, ... (+7)",low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
