decision_id,path,kind,reason,risk,evidence,owner,question,recommended_decision,batch_id,status
P1-REVIEW-049,.claude/settings.json,config,unreachable by AST graph but has risk/ref signals: risks=none refs=8,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=8,worker-claude,Keep; do not delete?,KEEP; user marked .claude skills/config necessary,B1-CLAUDE,REVIEW
P1-REVIEW-050,.claude/skills/spec-writer/SKILL.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-docs,Keep; do not delete?,KEEP; user marked .claude skills/config necessary,B7-DOCS,REVIEW
P1-REVIEW-051,.cursor/rules/coderun.mdc,other,non-code/other file; requires human classification,unknown,non-code/other file; requires human classification,worker-cursor,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B2-CURSOR,REVIEW
P1-REVIEW-052,.cursor/rules/git.mdc,other,non-code/other file; requires human classification,unknown,non-code/other file; requires human classification,worker-cursor,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B2-CURSOR,REVIEW
P1-REVIEW-053,.cursor/rules/reference.mdc,other,unreachable by AST graph but has risk/ref signals: risks=none refs=17,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=17,worker-cursor,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B2-CURSOR,REVIEW
P1-REVIEW-054,.github/chatmodes/vscode_copilot_cfg.chatmode.md,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B0-SHARED,REVIEW
P1-REVIEW-055,.gitignore,other,non-code/other file; requires human classification,unknown,non-code/other file; requires human classification,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-056,CLAUDE.md,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B0-SHARED,REVIEW
P1-REVIEW-057,README.md,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B0-SHARED,REVIEW
P1-REVIEW-058,__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=50,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=50,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-059,analyze/UE_extract.py,python,unreachable by AST graph but has risk/ref signals: risks=generated-code refs=1,generated-code,unreachable by AST graph but has risk/ref signals: risks=generated-code refs=1,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-060,analyze/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=69,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=69,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-061,analyze/analyze_ctx_switch.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-062,analyze/analyze_timing.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
