decision_id,path,kind,proposed_action,recommended_strategy,reason,risk,evidence,owner,archive_ref,recovery_command,requires_user_approval,batch_id,status
P1-REMOVE-001,.claude/agents/conda-debug-runner.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/agents/conda-debug-runner.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-002,.claude/agents/doc-writer.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.claude/agents/doc-writer.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-003,.trae/documents/plan_20260212_195149.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:.trae/documents/plan_20260212_195149.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-004,GUROBI_ENV_TESTING_SUMMARY.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:GUROBI_ENV_TESTING_SUMMARY.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-005,TEST_SCRIPT_UPDATE_SUMMARY.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:TEST_SCRIPT_UPDATE_SUMMARY.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-006,TODO.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:TODO.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-007,analyze/xlsl_e2e_lat_abla.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-analyze,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_e2e_lat_abla.py,yes,B3-ANALYZE,NOT_APPROVED_BY_USER
P1-REMOVE-008,claude_talk/ala_coding.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/ala_coding.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-009,claude_talk/auto-repack.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/auto-repack.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-010,claude_talk/baseline_allocator.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/baseline_allocator.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
