decision_id,dependency,manifest,proposed_action,status,reason,risk,evidence,owner,recovery_command,batch_id,approved_by,notes
P1-DEP-001,gurobipy,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=5; total_imports=9; examples=sched/packing_solver/chain_slack_assign.py:2; sched/packing_solver/gurobi_MP_semi2DClst.py:1,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,h5py,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=utils.py:13,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,networkx,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=11; total_imports=14; examples=approach_def.py:6; approach_sched.py:6; sched/global_sched.py:32,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,psutil,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=scripts/exp_common.py:25,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,pyinstrument,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=utils.py:297,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,pytest,requirement.txt,add test dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=test_approach_collector.py:14,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,tdigest,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_BUT_CONDA_IMPORT_OK,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=ref_tdigest.py:6,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; no Conda environment mutation.
P1-DEP-001,tqdm,requirement.txt,add reachable dependency to manifest,EXECUTED_ACCEPTED_MANIFEST_ADDED,NOT_LISTED_IN_REQUIREMENT_AT_BATCH_TIME; CONDA_IMPORT_PASS_AFTER_USER_INSTALL,manifest/env mismatch,reachable_imports=1; total_imports=1; examples=mapper/mem_planner.py:34,team-leader,git checkout archive/test_pipeline-20260612 -- requirement.txt,B0-SHARED-DEP,user-2026-06-13,Added to requirement.txt; mapper.mem_planner failed at batch time because tqdm was absent; after user installed tqdm 4.68.2 the targeted import passes.
,bokeh,requirement.txt,review possible stale dependency before removal,KEEP_REVIEW,LISTED_NOT_IMPORTED_STATICALLY,unknown,reachable_imports=0; total_imports=0; examples=,team-leader,git show archive/test_pipeline-20260612:requirement.txt,B0-SHARED,,User chose keep-review via P1-DEP-002.
,plotly,requirement.txt,review possible stale dependency before removal,KEEP_REVIEW,LISTED_NOT_IMPORTED_STATICALLY,unknown,reachable_imports=0; total_imports=0; examples=,team-leader,git show archive/test_pipeline-20260612:requirement.txt,B0-SHARED,,User chose keep-review via P1-DEP-002.
,pyyaml,requirement.txt,review possible stale dependency before removal,KEEP_REVIEW,LISTED_NOT_IMPORTED_STATICALLY,unknown,reachable_imports=0; total_imports=0; examples=,team-leader,git show archive/test_pipeline-20260612:requirement.txt,B0-SHARED,,User chose keep-review via P1-DEP-002.
P1-NODE-001,package.json/package-lock.json,"package.json,package-lock.json",remove tracked empty Node manifests from clean audit worktree,EXECUTED_ACCEPTED_ARCHIVE_ONLY,"package.json is {}, package-lock packages is empty",low but protected root files,package.json has no scripts/dependencies; package-lock.json has empty packages object; git grep found no literal references outside cleanup,team-leader,git checkout archive/test_pipeline-20260612 -- package.json package-lock.json,B0-SHARED-NODE,user-2026-06-12,Executed only for tracked files; untracked node_modules is out of scope; accepted by user on 2026-06-13.
